avid,bvid,cid,title,pubdate,duration,views,likes,coins,shares,favorites,bullets,comments,up_id,up_name,up_gender,up_fans,up_following,up_level,up_vip,up_official,up_archives,video_crawl_time
773037727,BV1E14y1v724,832941984,天安门广场升旗台下，为啥要安一台空调？没想到还有这样的作用！,2022-09-14 21:21:12,81,1870368,58610,326,126,1879,292,612,530949236,阿豆冷知识,保密,31660,129,5,,,105,2022-09-16 20:21:38
602861932,BV1HB4y1375U,828200816,西瓜也能打色素？街边牛排是不是合成牛排？,2022-09-09 19:44:42,179,1798186,209347,3931,1945,9959,1503,4366,439478093,中国食品报融媒体,保密,1923716,31,6,年度大会员,中国食品报融媒体官方帐号,135,2022-09-16 20:21:39
345456436,BV12d4y137Fi,829606468,一个实验让你看透色瘾恐怖的杀伤力！,2022-09-11 09:55:25,142,1532662,131029,14964,9636,42325,6770,3666,1296341266,自律可达鸭,保密,58195,19,5,,,84,2022-09-16 20:21:40
560489835,BV1Qe4y1b7y4,829882150,玻璃为什么是透明的？,2022-09-11 16:05:18,294,1237446,93346,18260,1746,20065,1987,1466,379247856,好奇心会社,女,747741,3,6,年度大会员,bilibili 知名科普UP主,214,2022-09-16 20:21:41
730467774,BV1rD4y1q73o,830091350,当蚂蚁遇到老六，如何让蚂蚁被失去信任，几个有趣的蚂蚁小实验,2022-09-11 20:13:54,113,1130685,67908,312,521,5305,583,365,191155958,全球不知道,男,86219,43,6,,全球不知道官方账号,337,2022-09-16 20:21:42
217961880,BV1Ra411u7Yo,828482545,【医学博士】脱发、头屑的原罪找到了!I 看完这个视频，打赌你一定想换洗发水,2022-09-10 17:30:00,358,1122771,89439,33817,10511,25257,3092,3534,7788379,兔叭咯,男,6733256,347,6,年度大会员,bilibili 2021百大UP主、知名UP主,278,2022-09-16 20:21:43
773056190,BV1L14y1v7yt,832674297,辟谣：最近火传的“38编号蚊子”，其实根本就不是“蚊子”！,2022-09-14 16:10:40,96,1018214,67214,1087,2126,4399,722,1834,277301527,小阳的昆虫世界,男,268050,44,6,年度大会员,bilibili 知名科普UP主,218,2022-09-16 20:21:44
560417275,BV1ge4y1a7Jv,829477285,一位妻子把下水道清洁剂加进了她丈夫的咖啡里，他的器官是这样衰竭的,2022-09-11 11:30:00,804,995333,66458,5235,3596,6418,8861,2516,297786973,Chubbyemu,男,1400155,18,6,年度大会员,Chubbyemu官方账号,59,2022-09-16 20:21:45
473047877,BV1dT411M7JM,833799320,【水果猎人】网络热门水果鉴定18,2022-09-15 18:35:13,241,973004,103715,1603,1250,3913,1757,723,400230277,水果猎人杨晓洋,男,1498953,10,6,年度大会员,科普作家杨晓洋,248,2022-09-16 20:21:45
557869465,BV17e4y1C76M,826920875,【禁毒科普】冰毒 4.0：前世今生,2022-09-09 18:45:00,1290,963360,27175,12745,2707,7347,2544,1456,26606146,底层原理,保密,2364587,1,6,年度大会员,bilibili 知名UP主,101,2022-09-16 20:21:46
